X,Y,VX,VY
-1.219024854566760E+08,-8.830999621339682E+07,1.698154915953803E+01,-2.422995800936565E+01
-1.204177057657562E+08,-9.039064737492749E+07,1.738755428470165E+01,-2.393218709879027E+01
-1.188980542231675E+08,-9.244529195673847E+07,1.778876201226917E+01,-2.362795067755871E+01
-1.173439471611308E+08,-9.447337023822281E+07,1.818512616118622E+01,-2.331722015218552E+01
-1.157558059376190E+08,-9.647431926965176E+07,1.857657554798747E+01,-2.299994998996098E+01
-1.141340593681229E+08,-9.844757159206642E+07,1.896300763454087E+01,-2.267608224990550E+01
-1.124791467232912E+08,-1.003925544373185E+08,1.934428181002712E+01,-2.234555335977662E+01
-1.107915213014392E+08,-1.023086896591792E+08,1.972021303076523E+01,-2.200830450958846E+01
-1.090716544617193E+08,-1.041953947652703E+08,2.009056802753960E+01,-2.166429685863847E+01
-1.073200397434126E+08,-1.060520854663754E+08,2.045506780719406E+01,-2.131353116707229E+01
-1.055371963517284E+08,-1.078781800006293E+08,2.081340034411365E+01,-2.095606836456305E+01
-1.037236710455282E+08,-1.096731050402550E+08,2.116524469338954E+01,-2.059204431045680E+01
-1.018800375760843E+08,-1.114363023487692E+08,2.151030237121812E+01,-2.022167136633671E+01
-1.000068934234605E+08,-1.131672348613059E+08,2.184832675132841E+01,-1.984522349679164E+01
-9.810485444419029E+07,-1.148653908845702E+08,2.217914067231855E+01,-1.946300890923088E+01
-9.617454869919311E+07,-1.165302857305094E+08,2.250263767768372E+01,-1.907533978546276E+01
-9.421661080369200E+07,-1.181614609636001E+08,2.281876967513679E+01,-1.868250857620039E+01
-9.223167767309256E+07,-1.197584820731025E+08,2.312752829088603E+01,-1.828477552683452E+01
-9.022038588781440E+07,-1.213209355395642E+08,2.342892701220261E+01,-1.788236665218253E+01
-8.818337040722354E+07,-1.228484260446720E+08,2.372298820740589E+01,-1.747547835352001E+01
-8.612126415163520E+07,-1.243405742161587E+08,2.400973596546069E+01,-1.706428457849702E+01
-8.403469798266047E+07,-1.257970149898590E+08,2.428919378814433E+01,-1.664894357491460E+01
-8.192430073178585E+07,-1.272173964759768E+08,2.456138549807069E+01,-1.622960263740184E+01
-7.979069907052615E+07,-1.286013791239102E+08,2.482633774639662E+01,-1.580640022688514E+01
-7.763451714564328E+07,-1.299486349539237E+08,2.508408273063869E+01,-1.537946542667956E+01
-7.545637601372492E+07,-1.312588466376387E+08,2.533465993837276E+01,-1.494891506973032E+01
-7.325689300420476E+07,-1.325317062525990E+08,2.557811590872021E+01,-1.451484920929248E+01
-7.103668121693499E+07,-1.337669136103462E+08,2.581450126279936E+01,-1.407734598288901E+01
-6.879634940662767E+07,-1.349641741638554E+08,2.604386472419572E+01,-1.363645726414605E+01
-6.653650250152165E+07,-1.361231966283100E+08,2.626624455505518E+01,-1.319220661775547E+01
-6.425774293284438E+07,-1.372436905706348E+08,2.648165860843216E+01,-1.274459077341301E+01
-6.196067282224587E+07,-1.383253642987510E+08,2.669009472022195E+01,-1.229358509013577E+01
-5.964589692186128E+07,-1.393679233817973E+08,2.689150314555567E+01,-1.183915254941627E+01
-5.731402607572591E+07,-1.403710700597913E+08,2.708579217875446E+01,-1.138125513069319E+01
-5.496568090604365E+07,-1.413345036924672E+08,2.727282733845946E+01,-1.091986629992331E+01
-5.260149541800933E+07,-1.422579223007050E+08,2.745243404877202E+01,-1.045498370025963E+01
-5.022212022184425E+07,-1.431410251932342E+08,2.762440386149798E+01,-9.986641501809657E+00
-4.782822504817598E+07,-1.439835166224987E+08,2.778850470236988E+01,-9.514921703585163E+00
-4.542050018207550E+07,-1.447851103194199E+08,2.794449571007391E+01,-9.039962819374296E+00
-4.299965642401558E+07,-1.455455345741587E+08,2.809214628840133E+01,-8.561963338394456E+00
-4.056642330079360E+07,-1.462645372878727E+08,2.823125696758061E+01,-8.081177213543222E+00
-3.812154555208427E+07,-1.469418902411579E+08,2.836167760309327E+01,-7.597900299300909E+00
-3.566577834086486E+07,-1.475773918629298E+08,2.848331799649720E+01,-7.112449838381512E+00
-3.319988198746414E+07,-1.481708681012880E+08,2.859614812385332E+01,-6.625142024687307E+00
