X,Y
1.758500774292310E+08,-1.086968363813986E+08
1.770203855558251E+08,-1.067311913536997E+08
1.781708672299485E+08,-1.047535923992470E+08
1.793013867656184E+08,-1.027642569843737E+08
1.804118112485798E+08,-1.007634043991063E+08
1.815020105667255E+08,-9.875125571411481E+07
1.825718574395213E+08,-9.672803373696044E+07
1.836212274466440E+08,-9.469396296763186E+07
1.846499990559502E+08,-9.264926955353321E+07
1.856580536506179E+08,-9.059418124403276E+07
1.866452755552410E+08,-8.852892734447706E+07
1.876115520608912E+08,-8.645373866951451E+07
1.885567734493139E+08,-8.436884749576829E+07
1.894808330162898E+08,-8.227448751410902E+07
1.903836270940064E+08,-8.017089378168799E+07
1.912650550723510E+08,-7.805830267360300E+07
1.921250194192244E+08,-7.593695183397919E+07
1.929634257000114E+08,-7.380708012650266E+07
1.937801825961606E+08,-7.166892758465129E+07
1.945752019226745E+08,-6.952273536172792E+07
1.953483986443997E+08,-6.736874568056943E+07
1.960996908912539E+08,-6.520720178284053E+07
1.968289999725942E+08,-6.303834787804669E+07
1.975362503907101E+08,-6.086242909244565E+07
1.982213698532271E+08,-5.867969141783696E+07
1.988842892843221E+08,-5.649038166005997E+07
1.995249428348909E+08,-5.429474738713653E+07
2.001432678917946E+08,-5.209303687724449E+07
2.007392050860952E+08,-4.988549906676003E+07
2.013126983001288E+08,-4.767238349838043E+07
2.018636946734601E+08,-4.545394026912329E+07
2.023921446079018E+08,-4.323041997809837E+07
2.028980017716567E+08,-4.100207367422694E+07
2.033812231024276E+08,-3.876915280410694E+07
2.038417688093241E+08,-3.653190915998191E+07
2.042796023736081E+08,-3.429059482765823E+07
2.046946905484891E+08,-3.204546213440918E+07
2.050870033580811E+08,-2.979676359708181E+07
2.054565140953927E+08,-2.754475187048637E+07
2.058031993191819E+08,-2.528967969591398E+07
2.061270388497241E+08,-2.303179984962322E+07
2.064280157636630E+08,-2.077136509137783E+07
2.067061163879599E+08,-1.850862811327951E+07
2.069613302927638E+08,-1.624384148902434E+07
2.071936502831404E+08,-1.397725762345937E+07
2.074030723898233E+08,-1.170912870226720E+07
2.075895958591469E+08,-9.439706641836040E+06
2.077532231420841E+08,-7.169243039543810E+06
2.078939598821874E+08,-4.897989124542654E+06
2.080118149023812E+08,-2.626195708912344E+06
2.081068001907833E+08,-3.541131391192996E+05
2.081789308857520E+08,1.918008752030930E+06
2.082282252601629E+08,4.189920692748444E+06
2.082547047047710E+08,6.461374018991304E+06
2.082583937106301E+08,8.732120720803153E+06
2.082393198507369E+08,1.100191348831168E+07
2.081975137610229E+08,1.327050575718850E+07
2.081330091205945E+08,1.553765175339102E+07
