X,Y
-1.219024854566760E+08,-8.830999621339682E+07
-1.204177057657562E+08,-9.039064737492749E+07
-1.188980542231675E+08,-9.244529195673847E+07
-1.173439471611308E+08,-9.447337023822281E+07
-1.157558059376190E+08,-9.647431926965176E+07
-1.141340593681229E+08,-9.844757159206642E+07
-1.124791467232912E+08,-1.003925544373185E+08
-1.107915213014392E+08,-1.023086896591792E+08
-1.090716544617193E+08,-1.041953947652703E+08
-1.073200397434126E+08,-1.060520854663754E+08
-1.055371963517284E+08,-1.078781800006293E+08
-1.037236710455282E+08,-1.096731050402550E+08
-1.018800375760843E+08,-1.114363023487692E+08
-1.000068934234605E+08,-1.131672348613059E+08
-9.810485444419029E+07,-1.148653908845702E+08
-9.617454869919311E+07,-1.165302857305094E+08
-9.421661080369200E+07,-1.181614609636001E+08
-9.223167767309256E+07,-1.197584820731025E+08
-9.022038588781440E+07,-1.213209355395642E+08
-8.818337040722354E+07,-1.228484260446720E+08
-8.612126415163520E+07,-1.243405742161587E+08
-8.403469798266047E+07,-1.257970149898590E+08
-8.192430073178585E+07,-1.272173964759768E+08
-7.979069907052615E+07,-1.286013791239102E+08
-7.763451714564328E+07,-1.299486349539237E+08
-7.545637601372492E+07,-1.312588466376387E+08
-7.325689300420476E+07,-1.325317062525990E+08
-7.103668121693499E+07,-1.337669136103462E+08
-6.879634940662767E+07,-1.349641741638554E+08
-6.653650250152165E+07,-1.361231966283100E+08
-6.425774293284438E+07,-1.372436905706348E+08
-6.196067282224587E+07,-1.383253642987510E+08
-5.964589692186128E+07,-1.393679233817973E+08
-5.731402607572591E+07,-1.403710700597913E+08
-5.496568090604365E+07,-1.413345036924672E+08
-5.260149541800933E+07,-1.422579223007050E+08
-5.022212022184425E+07,-1.431410251932342E+08
-4.782822504817598E+07,-1.439835166224987E+08
-4.542050018207550E+07,-1.447851103194199E+08
-4.299965642401558E+07,-1.455455345741587E+08
-4.056642330079360E+07,-1.462645372878727E+08
-3.812154555208427E+07,-1.469418902411579E+08
-3.566577834086486E+07,-1.475773918629298E+08
-3.319988198746414E+07,-1.481708681012880E+08
-3.072461711404425E+07,-1.487221714832543E+08
-2.824074086223022E+07,-1.492311788769780E+08
-2.574900444350710E+07,-1.496977886584208E+08
-2.325015189987363E+07,-1.501219179109939E+08
-2.074491972355585E+07,-1.505035000566926E+08
-1.823403692755019E+07,-1.508424830629262E+08
-1.571822521852949E+07,-1.511388281725790E+08
-1.319819903425781E+07,-1.513925089860717E+08
-1.067466532730051E+07,-1.516035106679572E+08
-8.148323091920436E+06,-1.517718290358075E+08
-5.619862744151250E+06,-1.518974693065353E+08
-3.089965578452515E+06,-1.519804443318411E+08
-5.593036252318739E+05,-1.520207722670742E+08
1.971459714736953E+06,-1.520184737961338E+08
4.501667933742528E+06,-1.519735692574850E+08
7.030668445645963E+06,-1.518860762127445E+08
9.557808559864935E+06,-1.517560080670822E+08
1.208243091055951E+07,-1.515833742147368E+08
1.460386904960461E+07,-1.513681818652034E+08
1.712144388668609E+07,-1.511104393349788E+08
1.963446144012760E+07,-1.508101603232131E+08
2.214221207540466E+07,-1.504673686068027E+08
2.464397118193815E+07,-1.500821026552789E+08
2.713900111901081E+07,-1.496544197798493E+08
2.962655421048284E+07,-1.491843995177410E+08
3.210587651961112E+07,-1.486721460043518E+08
3.457621205819709E+07,-1.481177891472458E+08
3.703680700587676E+07,-1.475214845355043E+08
3.948691349752817E+07,-1.468834121969232E+08
4.192579262369059E+07,-1.462037744998545E+08
4.435271646852536E+07,-1.454827936116016E+08
4.676696921936405E+07,-1.447207089272566E+08
4.916784754911103E+07,-1.439177747825481E+08
5.155466055632751E+07,-1.430742586115372E+08
5.392672954808106E+07,-1.421904395585229E+08
5.628338789345036E+07,-1.412666074356258E+08
5.862398108891816E+07,-1.403030618406283E+08
6.094786707637349E+07,-1.393001112076881E+08
6.325441674157748E+07,-1.382580715520194E+08
6.554301439156419E+07,-1.371772646970531E+08
6.781305786956231E+07,-1.360580158641336E+08
7.006395785157132E+07,-1.349006506922504E+08
7.229513585763301E+07,-1.337054920458077E+08
7.450602070222294E+07,-1.324728572967269E+08
7.669604354618199E+07,-1.312030569694234E+08
7.886463228494076E+07,-1.298963955130573E+08
8.101120643081610E+07,-1.285531744431677E+08
8.313517363370413E+07,-1.271736973687562E+08
8.523592849424736E+07,-1.257582758700243E+08
8.731285363000791E+07,-1.243072350941975E+08
8.936532242690288E+07,-1.228209182604947E+08
9.139270273286611E+07,-1.212996897454941E+08
9.339436086594549E+07,-1.197439367980213E+08
9.536966553407273E+07,-1.181540701077662E+08
9.731799145190404E+07,-1.165305234678091E+08
9.923872253878286E+07,-1.148737527239310E+08
1.011312546121556E+08,-1.131842341672439E+08
1.029949975013809E+08,-1.114624625274473E+08
1.048293765364898E+08,-1.097089487477601E+08
1.066338334259559E+08,-1.079242177381600E+08
1.084078266119554E+08,-1.061088062863402E+08
1.101508312549274E+08,-1.042632612504310E+08
1.118623390308274E+08,-1.023881380766404E+08
1.135418579171399E+08,-1.004839995981641E+08
1.151889121014548E+08,-9.855141499504320E+07
1.168030420761030E+08,-9.659095873662107E+07
1.183838048867735E+08,-9.460320929395428E+07
1.199307743800407E+08,-9.258874740956859E+07
1.214435411459364E+08,-9.054815377135754E+07
1.229217117021271E+08,-8.848200609639773E+07
1.243649063896980E+08,-8.639087592323737E+07
1.257727555757049E+08,-8.427532581039152E+07
1.271448942071494E+08,-8.213590798368266E+07
1.284809554990618E+08,-7.997316547281156E+07
1.297805652343451E+08,-7.778763619040102E+07
1.310433382945506E+08,-7.557985936313449E+07
1.322688783749171E+08,-7.335038279648097E+07
1.334567807038213E+08,-7.109976923992278E+07
1.346066366786112E+08,-6.882860069839989E+07
1.357180390878710E+08,-6.653748043751071E+07
1.367905869238813E+08,-6.422703311282827E+07
1.378238893191763E+08,-6.189790370078178E+07
1.388175685596780E+08,-5.955075582181469E+07
1.397712623325984E+08,-5.718626982986751E+07
1.406846254024134E+08,-5.480514084420295E+07
1.415573308572841E+08,-5.240807677969833E+07
1.423890710010220E+08,-4.999579638885175E+07
1.431795579215212E+08,-4.756902733498507E+07
1.439285237578569E+08,-4.512850433845939E+07
1.446357207079422E+08,-4.267496744976179E+07
1.453009208491847E+08,-4.020916049110162E+07
1.459239158667322E+08,-3.773182967091271E+07
1.465045167831511E+08,-3.524372232226788E+07
1.470425537520913E+08,-3.274558565976759E+07
1.475378759138220E+08,-3.023816540386717E+07
1.479903512115730E+08,-2.772220410268461E+07
1.483998659372799E+08,-2.519843901261684E+07
1.487663236314624E+08,-2.266759951599447E+07
1.490896428599357E+08,-2.013040429582432E+07
1.493697534429464E+08,-1.758755885816915E+07
1.496065910672365E+08,-1.503975438467985E+07
1.498000909247524E+08,-1.248766903635018E+07
1.499501818581308E+08,-9.931972375205690E+06
1.500567828828152E+08,-7.373332463557176E+06
1.501198033876374E+08,-4.812423968707161E+06
1.501391469451736E+08,-2.249935098272035E+06
1.501147173521096E+08,3.134281958593015E+05
1.500464250667964E+08,2.876941065838363E+06
1.499341926643742E+08,5.439860961498605E+06
1.497779587464984E+08,8.001430091098202E+06
1.495776803965858E+08,1.056087824269341E+07
1.493333345754753E+08,1.311742543942062E+07
1.490449188790940E+08,1.567028424121303E+07
1.487124519714432E+08,1.821866171445822E+07
1.483359738689474E+08,2.076176117857908E+07
1.479155461391313E+08,2.329878384470699E+07
1.474512520059277E+08,2.582893042542036E+07
1.469431963262087E+08,2.835140274582854E+07
1.463915054086043E+08,3.086540534669278E+07
1.457963266713783E+08,3.337014705350056E+07
1.451578281626308E+08,3.586484249606888E+07
1.444761979753759E+08,3.834871359612398E+07
1.437516435686479E+08,4.082099108151242E+07
1.429843909475266E+08,4.328091611503371E+07
1.421746835628684E+08,4.572774211820027E+07
1.413227806825140E+08,4.816073679581183E+07
1.404289549016168E+08,5.057918419661660E+07
1.394934884812940E+08,5.298238637056872E+07
1.385166684455851E+08,5.536966386648279E+07
1.374987809046252E+08,5.774035414329365E+07
1.364401057968338E+08,6.009380723320518E+07
1.353409137373077E+08,6.242937886679775E+07
1.342014663777786E+08,6.474642246342152E+07
1.330220204950462E+08,6.704428213911822E+07
1.318028345734659E+08,6.932228855022261E+07
1.305441758859401E+08,7.157975815572616E+07
1.292463263803961E+08,7.381599520890138E+07
1.279095866016077E+08,7.603029518691628E+07
1.265342777393060E+08,7.822194848876607E+07
1.251207423393073E+08,8.039024370290387E+07
1.236693442758552E+08,8.253447020698459E+07
1.221804684436739E+08,8.465392015821216E+07
1.206545204399267E+08,8.674789006469473E+07
1.190919263439620E+08,8.881568215138946E+07
1.174931325871163E+08,9.085660569932574E+07
1.158586058346020E+08,9.286997847561052E+07
1.141888327710907E+08,9.485512830281515E+07
1.124843196852857E+08,9.681139475347693E+07
1.107455917779901E+08,9.873813091113281E+07
1.089731921584731E+08,1.006347051225489E+08
1.071676805260521E+08,1.025005026768429E+08
1.053296315396778E+08,1.043349273735934E+08
1.034596328496912E+08,1.061374029595989E+08
1.015582827120697E+08,1.079073743928754E+08
9.962618705820498E+07,1.096443088077508E+08
9.766395590823448E+07,1.113476959021081E+08
9.567219916341954E+07,1.130170472871713E+08
9.365152214109507E+07,1.146518942422335E+08
9.160252167331044E+07,1.162517834741249E+08
8.952578394904543E+07,1.178162710268359E+08
8.742188518307206E+07,1.193449153176520E+08
8.529139543698756E+07,1.208372709461009E+08
8.313488477639093E+07,1.222928848911578E+08
8.095293010881007E+07,1.237112958643773E+08
7.874612103261824E+07,1.250920364324146E+08
7.651506373315525E+07,1.264346367560192E+08
7.426038283837709E+07,1.277386287060078E+08
7.198272172641321E+07,1.290035495061648E+08
6.968274194926889E+07,1.302289445514605E+08
6.736112233551994E+07,1.314143694216624E+08
6.501855813461805E+07,1.325593913024513E+08
6.265576037324311E+07,1.336635900833962E+08
6.027345544603752E+07,1.347265593842089E+08
5.787238485839755E+07,1.357479077064868E+08
5.545330496913461E+07,1.367272598342792E+08
5.301698654340477E+07,1.376642585187983E+08
5.056421392615195E+07,1.385585663872271E+08
4.809578368837377E+07,1.394098679278190E+08
4.561250267761755E+07,1.402178713449258E+08
4.311518549918416E+07,1.409823100657667E+08
4.060465153424399E+07,1.417029437153940E+08
3.808172164086171E+07,1.423795584336590E+08
3.554721468433999E+07,1.430119664510307E+08
3.300194403617359E+07,1.436000048420070E+08
3.044671421575889E+07,1.441435333432895E+08
2.788231796162680E+07,1.446424311123254E+08
2.530953419155708E+07,1.450965923951798E+08
2.272912744340554E+07,1.455059213371259E+08
2.014184931923179E+07,1.458703265720518E+08
1.754844206668115E+07,1.461897165821351E+08
1.494964379891107E+07,1.464639968569888E+08
1.234619428431685E+07,1.466930694580152E+08
9.738840075227262E+06,1.468768348703061E+08
7.128338087486547E+06,1.470151953861043E+08
4.515457360611977E+06,1.471080590183955E+08
1.900979276433691E+06,1.471553431110720E+08
-7.143032104408472E+05,1.471569771905366E+08
-3.329586768582700E+06,1.471129049699914E+08
-5.944058892625031E+06,1.470230856582167E+08
-8.556898874447761E+06,1.468874948334067E+08
-1.116727846441785E+07,1.467061251618570E+08
-1.377436227128261E+07,1.464789872121991E+08
-1.637730805015087E+07,1.462061105588585E+08
-1.897526710891688E+07,1.458875452842316E+08
-2.156738511629742E+07,1.455233638705803E+08
-2.415280359473546E+07,1.451136633212021E+08
-2.673066229892559E+07,1.446585671920011E+08
-2.930010250530067E+07,1.441582271033499E+08
-3.186027100417645E+07,1.436128233003751E+08
-3.441032437546580E+07,1.430225639657278E+08
-3.694943302916635E+07,1.423876832231141E+08
-3.947678453942610E+07,1.417084380073006E+08
-4.199158595184129E+07,1.409851041261396E+08
-4.449306490639465E+07,1.402179718765044E+08
-4.698046952286624E+07,1.394073415475790E+08
-4.945306704021080E+07,1.385535191281630E+08
-5.191014124706575E+07,1.376568125695382E+08
-5.435098885709010E+07,1.367175290092883E+08
-5.677491518391733E+07,1.357359733457388E+08
-5.918122968133703E+07,1.347124483896628E+08
-6.156924200774252E+07,1.336472565181343E+08
-6.393825916256502E+07,1.325407024284668E+08
-6.628758395372719E+07,1.313930963875563E+08
-6.861651471693347E+07,1.302047573754737E+08
-7.092434595776141E+07,1.289760156995568E+08
-7.321036949195427E+07,1.277072149024065E+08
