timeFrame,spX,spY,svX,svY,mpX,mpY,mvX,mvY,epX,epY,evX,evY
0,1.2925316890970602E11,7.381989902423772E10,-22342.812602930484,39120.60798588045,6.0697808E10,2.20896624E11,-22447.893142700195,8479.56371307373,1.29246328E11,7.3815992E10,-15247.064590454102,25756.78825378418
86399.99999999488,1.272319710801327E11,7.675091322028465E10,-23540.886877917957,33662.844581051824,5.8755635642918304E10,2.216201971645641E11,-22504.971682412597,8268.113837890158,1.2790942997429352E11,7.603036014065407E10,-15695.837596982132,25495.28472688883
172800.00000005934,1.2517948583574911E11,7.964690955731534E10,-23972.210046914926,33375.12828208988,5.6808812449256035E10,2.2232542301974066E11,-22560.04769017359,8056.535272996665,1.2653408145954875E11,7.82215720604282E10,-16140.19293742495,25225.901520906595
259200.00000019904,1.2308952504844731E11,8.251802982622859E10,-24406.096722999762,33084.706178969354,5.485731674925519E10,2.230123626641988E11,-22613.132480091077,7844.824913461231,1.2512053466093004E11,8.038917023437962E10,-16580.03350977133,24948.681976777632
345600.0000003387,1.2096223021598677E11,8.536368787107845E10,-24835.9846127018,32785.395194420526,5.290132034155251E10,2.2368100548363586E11,-22664.23168893742,7633.000619230096,1.2366918576327097E11,8.253248068318419E10,-17015.2180662418,24663.69783924287
432000.0000004784,1.1879803282503802E11,8.818306006586043E10,-25260.132907556566,32476.175059967103,5.094099453227699E10,2.2433134239954904E11,-22713.35108001566,7421.080080571369,1.2218044311267126E11,8.465083574065608E10,-17445.60635243909,24371.023499921674
518400.0000006181,1.1659747105746513E11,9.097528156909386E10,-25677.628451771816,32156.915982672002,4.8976510124262726E10,2.249633658543862E11,-22760.4965397729,7209.080818344613,1.2065472712840651E11,8.674357428211751E10,-17871.059160056913,24070.735989487683
604800.0000007577,1.1436114939087962E11,9.373949013065906E10,-26087.809159319775,31827.764203525825,4.70080374065579E10,2.255770697976039E11,-22805.674074452574,6997.020184323098,1.1909247021024977E11,8.881004195202666E10,-18291.43837980587,23762.91496870984
691200.0000008974,1.1208972432354494E11,9.647484194467131E10,-26490.120673069945,31488.98685202745,4.5035746144213E10,2.2617244966994135E11,-22848.889806800227,6784.915361563151,1.1749411664122852E11,9.084959139079425E10,-18706.607054533026,23447.642718336516
777600.0000010371,1.0978389741495296E11,9.91805194484039E10,-26884.069845704773,31140.918954425175,4.305980556835914E10,2.267495023896696E11,-22890.149972809275,6572.783364820705,1.1586012248578079E11,9.286158246066719E10,-19116.429432505087,23125.004127813507
