timeFrame,spX,spY,svX,svY,mpX,mpY,mvX,mvY,epX,epY,evX,evY
0,6.286730624634262E10,2.1883283165179965E11,-28717.99805713425,-12558.724870256163,6.286824214224994E10,2.1883608938246695E11,-22508.91860146562,8705.950044018897,1.2922877998875511E11,7.157021840232347E10,-15040.063503405649,26131.282004088935
86400.0,6.039741968046079E10,2.177856491173027E11,-28612.038138706597,-12221.269985818366,6.092062874318224E10,2.1957915291727783E11,-22569.16693152132,8492.570679256389,1.2790930541345311E11,7.381706892103998E10,-15499.07603125346,25871.75318741536
172800.0,5.7922764135657715E10,2.167203290706293E11,-28671.49526141783,-12439.66860447493,5.896812377035233E10,2.2030368714398315E11,-22627.367790905926,8279.024628919748,1.2655051561140028E11,7.604088220614836E10,-15953.647661874611,25604.043623378333
259200.0,5.544301732964908E10,2.1563595454207538E11,-28729.85118377352,-12662.266417682808,5.7010678207091156E10,2.210097634077474E11,-22683.533301869,8065.306163332413,1.2515264583530202E11,7.82412132415541E10,-16403.67981872735,25328.194658672717
345600.0,5.295828206396595E10,2.145321736352502E11,-28786.950731277084,-12888.889004696814,5.504846768476822E10,2.2169736762459766E11,-22737.66864479635,7851.434066723196,1.2371609482333093E11,8.041736195355362E10,-16849.02157388019,25044.280181589987
432000.0,5.046867131152747E10,2.1340863777410318E11,-28842.693851799882,-13119.566248667976,5.308166738086887E10,2.2236648732623413E11,-22789.779145279892,7637.426955078859,1.2224127430758978E11,8.256863478101353E10,-17289.52308058882,24752.377056137047
518400.0,4.797430635131171E10,2.122649939532963E11,-28896.986034968562,-13354.363045696768,5.111045200660195E10,2.230171116454667E11,-22839.87027057756,7423.303276071767,1.2072860891791418E11,8.469434493202399E10,-17725.03563774124,24452.56511138631
604800.0,4.547531667989464E10,2.111008830229164E11,-28949.731034652643,-13593.355014341912,4.913499579481202E10,2.2364923130178033E11,-22887.9476261115,7209.081309044854,1.1917853608009634E11,8.679381263956284E10,-18155.411754450524,24144.92712924677
691200.0,4.297184026212223E10,2.0991593907832275E11,-29000.828881950958,-13836.622356532087,4.715547248818949E10,2.2426283858674298E11,-22934.01695201191,6994.779165052819,1.1759150590853427E11,8.886636541603665E10,-18580.505214756395,23829.54883064477
777600.0,4.04640238921107E10,2.0870978916938766E11,-29050.175068137214,-14084.247746562112,4.517205532778325E10,2.248579273493545E11,-22978.084119698764,6780.414786958128,1.1596798109327531E11,9.091133830655574E10,-19000.171142389994,23506.51886009889
864000.0,3.795202360722629E10,2.0748205313097357E11,-29097.660072659673,-14336.31541997436,4.3184917041800735E10,2.2543449298162308E11,-23020.15512850883,6566.005949579291,1.1430843678146829E11,9.292807414080783E10,-19414.266065554584,23175.928768672307
950400.0,3.543600513681258E10,2.062323434707688E11,-29143.169011099064,-14592.910689650633,4.1194229834699905E10,2.2599253240403104E11,-23060.236102362927,6351.570259891177,1.1261336045322313E11,9.491592378338838E10,-19822.64798168115,22837.872995292342
1036800.0,3.291614437908273E10,2.0496026529056403E11,-29186.5813280673,-14854.119630552988,3.920016537656974E10,2.2653204405151657E11,-23098.333286478388,6137.125157275908,1.1088325179186981E11,9.687424638244809E10,-20225.176422103516,22492.448846420604
